Threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score
0.47500000000000003,0.6875,0.7916666666666667,1.0,0.5833333333333334,1.0,0.4444444444444444,0.6761133603238867,0.875,0.20014339554667712
0.48,0.6875,0.7916666666666667,1.0,0.5833333333333334,1.0,0.4444444444444444,0.6761133603238867,0.875,0.20014339554667712
0.485,0.6875,0.7916666666666667,1.0,0.5833333333333334,1.0,0.4444444444444444,0.6761133603238867,0.875,0.20014339554667712
0.4882954663559038,0.6875,0.7916666666666667,1.0,0.5833333333333334,1.0,0.4444444444444444,0.6761133603238867,0.875,0.20014339554667712
0.49,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.495,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.5,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.505,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.51,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.515,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.52,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.525,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.53,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.535,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.54,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.540142649943228,0.65625,0.7708333333333333,1.0,0.5416666666666666,1.0,0.42105263157894735,0.6476476476476476,0.875,0.20014339554667712
0.545,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.55,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.555,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.56,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.5650000000000001,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.5700000000000001,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.5750000000000001,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.58,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.5815615757695043,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.875,0.20014339554667712
0.585,0.59375,0.7291666666666666,1.0,0.4583333333333333,1.0,0.38095238095238093,0.5901477832512315,0.875,0.20014339554667712
0.59,0.59375,0.7291666666666666,1.0,0.4583333333333333,1.0,0.38095238095238093,0.5901477832512315,0.875,0.20014339554667712
0.595,0.59375,0.7291666666666666,1.0,0.4583333333333333,1.0,0.38095238095238093,0.5901477832512315,0.875,0.20014339554667712
0.5960309047999333,0.59375,0.7291666666666666,1.0,0.4583333333333333,1.0,0.38095238095238093,0.5901477832512315,0.875,0.20014339554667712
0.6,0.5625,0.7083333333333334,1.0,0.4166666666666667,1.0,0.36363636363636365,0.5607843137254902,0.875,0.20014339554667712
0.605,0.5625,0.7083333333333334,1.0,0.4166666666666667,1.0,0.36363636363636365,0.5607843137254902,0.875,0.20014339554667712
0.61,0.5625,0.7083333333333334,1.0,0.4166666666666667,1.0,0.36363636363636365,0.5607843137254902,0.875,0.20014339554667712
0.6128680328707661,0.5625,0.7083333333333334,1.0,0.4166666666666667,1.0,0.36363636363636365,0.5607843137254902,0.875,0.20014339554667712
0.615,0.53125,0.6875,1.0,0.375,1.0,0.34782608695652173,0.530791788856305,0.875,0.20014339554667712
0.62,0.53125,0.6875,1.0,0.375,1.0,0.34782608695652173,0.530791788856305,0.875,0.20014339554667712
0.625,0.53125,0.6875,1.0,0.375,1.0,0.34782608695652173,0.530791788856305,0.875,0.20014339554667712
0.63,0.53125,0.6875,1.0,0.375,1.0,0.34782608695652173,0.530791788856305,0.875,0.20014339554667712
0.635,0.53125,0.6875,1.0,0.375,1.0,0.34782608695652173,0.530791788856305,0.875,0.20014339554667712
0.6376818058164216,0.53125,0.6875,1.0,0.375,1.0,0.34782608695652173,0.530791788856305,0.875,0.20014339554667712
0.64,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.875,0.20014339554667712
0.645,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.875,0.20014339554667712
0.65,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.875,0.20014339554667712
0.655,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.875,0.20014339554667712
